# 更新时间: 2025-12-01 21:37:39（北京时间）
# 数据来源: https://github.com/kakaxi-1

央视频道,#genre#
CCTV-2财经,http://180.127.229.167:4022/rtp/239.49.8.50:9802$江苏电信
CCTV-2财经,http://123.112.171.201:4022/rtp/239.3.1.60:8084$北京联通
CCTV-2财经,http://116.21.205.105:9530/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://116.21.205.105:9530/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://116.21.205.105:9530/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://113.65.213.206:4000/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://113.65.213.206:4000/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://113.65.213.206:4000/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://116.21.205.105:9527/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://116.21.205.105:9527/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://116.21.205.105:9527/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://180.165.10.51:9999/rtp/233.18.204.68:5140$上海电信
CCTV-2财经,http://180.165.10.51:9999/rtp/239.45.0.1:5140$上海电信
CCTV-2财经,http://180.165.10.51:9999/rtp/239.45.3.208:5140$上海电信
CCTV-2财经,http://113.25.107.142:10000/rtp/238.1.40.119:10061$山西电信
CCTV-2财经,http://113.25.107.142:10000/rtp/239.1.1.8:8008$山西电信
CCTV-2财经,http://119.131.26.48:9003/rtp/239.77.0.137:5146$HD$广东电信
CCTV-2财经,http://119.131.26.48:9003/rtp/239.77.1.158:5146$HD$广东电信
CCTV-2财经,http://119.131.26.48:9003/rtp/239.253.43.17:5146$AVS$广东电信
CCTV-2财经,http://124.78.13.23:4022/rtp/233.18.204.68:5140$上海电信
CCTV-2财经,http://124.78.13.23:4022/rtp/239.45.0.1:5140$上海电信
CCTV-2财经,http://124.78.13.23:4022/rtp/239.45.3.208:5140$上海电信
CCTV-2财经,http://183.220.107.138:4022/rtp/239.11.0.108:5140$四川移动
CCTV-2财经,http://111.199.0.19:4022/rtp/239.3.1.60:8084$北京联通
CCTV-2财经,http://222.129.32.133:4022/rtp/239.3.1.60:8084$北京联通
CCTV-2财经,http://115.171.216.39:4000/rtp/225.1.8.2:8084$北京电信
CCTV-2财经,http://115.171.216.39:4000/rtp/225.1.8.102:8004$北京电信
CCTV-2财经,http://117.81.219.79:8000/rtp/239.49.8.50:9802$江苏电信
CCTV-2财经,http://60.216.164.56:6688/rtp/239.21.1.151:5002$山东电信
CCTV-2财经,http://123.149.0.24:8800/rtp/239.16.20.2:10020$河南电信
CCTV-2财经,http://116.237.31.38:8888/rtp/233.18.204.68:5140$上海电信
